auction_id,item_type,item_name,price,posted_on,begins_at,ends_at,contact_tel,auction_id_long,item_url
219955,Bútor,2 személyes kanapé,30000,2020-09-01 19:00:00,2020-09-21 08:00:00,2020-09-24 21:00:00,06(1)4273625,219955/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219955&FRAME_SKIP_DEJAVU=1
221366,Bútor,Rattan hatású kültéri étkező,250000,2020-09-03 15:45:00,2020-10-30 08:00:00,2020-11-02 21:00:00,06(42)503279,221366/200903,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=221366&FRAME_SKIP_DEJAVU=1
219965,Bútor,Corner Kávézó,30000,2020-09-01 19:00:00,2020-09-21 08:00:00,2020-09-24 21:00:00,06(1)4273625,219965/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219965&FRAME_SKIP_DEJAVU=1
219982,Bútor,Bútorok,12500,2020-08-07 16:06:00,2020-09-21 08:00:00,2020-09-24 21:00:00,06(1)2372524,219982/200806,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219982&FRAME_SKIP_DEJAVU=1
220028,Bútor,konyhabútor,50000,2020-08-10 10:25:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(36)512477,220028/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220028&FRAME_SKIP_DEJAVU=1
220031,Bútor,konyhaszekrény,20000,2020-08-10 10:30:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(36)512477,220031/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220031&FRAME_SKIP_DEJAVU=1
220034,Bútor,szék,30000,2020-08-10 10:55:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(36)512477,220034/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220034&FRAME_SKIP_DEJAVU=1
219894,Bútor,Sarok ülőgarnitúra,70000,2020-08-05 13:10:00,2020-09-21 08:00:00,2020-09-24 21:00:00,06(22)512567,219894/200804,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219894&FRAME_SKIP_DEJAVU=1
219958,Bútor,"Kozmetikai bútor együttes, 4 részes",100000,2020-08-07 10:00:00,2020-09-08 08:00:00,2020-09-11 21:00:00,06(1)4273593,219958/200806,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219958&FRAME_SKIP_DEJAVU=1
219963,Bútor,2 személyes kanapé,30000,2020-09-01 19:00:00,2020-09-21 08:00:00,2020-09-24 21:00:00,06(1)4273625,219963/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219963&FRAME_SKIP_DEJAVU=1
220096,Bútor,műbőr fotel,30000,2020-08-11 10:15:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(36)512477,220096/200811,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220096&FRAME_SKIP_DEJAVU=1
220099,Bútor,mozi fotel,720000,2020-08-11 11:15:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(36)512477,220099/200811,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220099&FRAME_SKIP_DEJAVU=1
